query	top	match
1639.1356_FFGZ01000001	75	1639.4263
1639.1356_FFGZ01000001	76	1639.3519
1639.1356_FFGZ01000001	77	1639.3666
1639.1356_FFGZ01000001	78	1639.3451
1639.1356_FFGZ01000001	79	1639.4288
1639.1356_FFGZ01000001	80	1639.3132
1639.1356_FFGZ01000001	81	1639.2990
1639.1356_FFGZ01000001	82	1639.2422
1639.1356_FFGZ01000001	83	1639.3510
1639.1356_FFGZ01000001	84	1639.4427
1639.1356_FFGZ01000001	85	1639.1135
1639.1356_FFGZ01000001	86	1639.1204
1639.1356_FFGZ01000001	87	1639.3503
1639.1356_FFGZ01000001	88	1639.2654
1639.1356_FFGZ01000001	89	1639.3511
1639.1356_FFGZ01000001	90	1639.3172
1639.1356_FFGZ01000001	91	1639.1113
1639.1356_FFGZ01000001	92	1639.9401
1639.1356_FFGZ01000001	93	1639.9388
1639.1356_FFGZ01000001	94	1639.983
1639.1356_FFGZ01000001	95	1639.3655
1639.1356_FFGZ01000001	96	1639.3470
1639.1356_FFGZ01000001	97	1639.9385
1639.1356_FFGZ01000001	98	1639.3506
1639.1356_FFGZ01000001	99	1639.1927
1639.1356_FFGZ01000001	100	1639.3760
1639.1356_FFGZ01000001	101	1639.3757
1639.1356_FFGZ01000001	1	2026724.181
